did,name,family,NumberOfInstances,NumberOfFeatures,NumberOfClasses
54,vehicle,vehicle,846.0,19.0,4.0
970,analcatdata_authorship,analcatdata_authorship,841.0,71.0,2.0
46846,glioma_grading_clinical_and_mutation_features,glioma_grading,839.0,24.0,2.0
47155,waveform,waveform,800.0,22.0,3.0
46667,imdb_genre_prediction,imdb_genre,800.0,12.0,2.0
469,analcatdata_dmft,analcatdata_dmft,797.0,5.0,6.0
839,kdd_el_nino-small,kdd_nino,782.0,9.0,2.0
46827,QSAR_Bioconcentration_classification,qsar_bioconcentration,779.0,13.0,3.0
37,diabetes,diabetes,768.0,9.0,2.0
1464,blood-transfusion-service-center,blood_transfusion,748.0,5.0,2.0
44588,eucalyptus_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,eucalyptus_nrows,736.0,20.0,5.0
46505,total_score,total_score,719.0,11.0,4.0
46382,company_quality_and_valuation_finance,company_quality,719.0,11.0,6.0
45712,doa_bwin_balanced,doa_bwin,708.0,14.0,2.0
1451,PieChart1,piechart1,705.0,38.0,2.0
15,breast-w,breast,699.0,10.0,2.0
40981,Australian,australian,690.0,15.0,2.0
44484,Australian_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,australian_nrows,690.0,15.0,2.0
1023,soybean,soybean,683.0,36.0,2.0
46584,Student_Performance_on_an_Entrance_Examination,student_performance,666.0,12.0,4.0
40591,genbase,genbase,662.0,1213.0,2.0
795,disclosure_x_tampered,disclosure_tampered,662.0,4.0,2.0
931,disclosure_z,disclosure,662.0,4.0,2.0
827,disclosure_x_noise,disclosure_noise,662.0,4.0,2.0
774,disclosure_x_bias,disclosure_bias,662.0,4.0,2.0
1443,PizzaCutter1,pizzacutter1,661.0,38.0,2.0
1145,AP_Breast_Colon,breast_colon,630.0,10936.0,2.0
997,balance-scale,balance_scale,625.0,5.0,2.0
770,strikes,strikes,625.0,7.0,2.0
43595,Loan-Predication,loan_predication,614.0,12.0,2.0
1158,AP_Breast_Kidney,breast_kidney,604.0,10936.0,2.0
334,monks-problems-2,monks_problems,601.0,7.0,2.0
377,synthetic_control,synthetic_control,600.0,61.0,6.0
4136,Dexter,dexter,600.0,20001.0,2.0
40589,emotions,emotions,593.0,78.0,2.0
41945,ilpd-numeric,ilpd_numeric,583.0,11.0,2.0
1480,ilpd,ilpd,583.0,11.0,2.0
826,sensory,sensory,576.0,12.0,2.0
1510,wdbc,wdbc,569.0,31.0,2.0
947,arsenic-male-bladder,arsenic_male,559.0,5.0,2.0
949,arsenic-female-bladder,arsenic_female,559.0,5.0,2.0
1137,AP_Colon_Kidney,colon_kidney,546.0,10936.0,2.0
1165,AP_Breast_Ovary,breast_ovary,542.0,10936.0,2.0
46879,mental_health_detection,mental_health,540.0,15.0,4.0
1467,climate-model-simulation-crashes,climate_model,540.0,21.0,2.0
954,spectrometer,spectrometer,531.0,102.0,2.0
45717,bwin_amlb,bwin_amlb,530.0,14.0,2.0
41701,CPMP-2015-classification,cpmp_2015,527.0,27.0,4.0
940,water-treatment,water_treatment,527.0,37.0,2.0
1063,kc2,kc2,522.0,22.0,2.0
46869,diabetes_risk_prediction_dataset,diabetes_risk,520.0,17.0,2.0
40690,threeOf9,threeof9,512.0,10.0,2.0
717,rmftsa_ladata,rmftsa_ladata,508.0,11.0,2.0
825,boston_corrected,boston_corrected,506.0,21.0,2.0
853,boston,boston,506.0,14.0,2.0
779,fri_c1_500_25,fri_500,500.0,26.0,2.0
886,no2,no2,500.0,8.0,2.0
40496,LED-display-domain-7digit,led_display,500.0,8.0,10.0
451,irish,irish,500.0,6.0,2.0
987,collins,collins,500.0,23.0,2.0
47048,Accidents_Prediction_Dataset,accidents_prediction,500.0,7.0,2.0
750,pm10,pm10,500.0,8.0,2.0
43327,Birds,birds,500.0,3.0,20.0
1153,AP_Colon_Ovary,colon_ovary,484.0,10936.0,2.0
1100,PopularKids,popularkids,478.0,11.0,3.0
40665,clean1,clean1,476.0,169.0,2.0
765,analcatdata_apnea2,analcatdata_apnea2,475.0,4.0,2.0
767,analcatdata_apnea1,analcatdata_apnea1,475.0,4.0,2.0
1150,AP_Breast_Lung,breast_lung,470.0,10936.0,2.0
1506,thoracic-surgery,thoracic_surgery,470.0,17.0,2.0
724,analcatdata_vineyard,analcatdata_vineyard,468.0,4.0,2.0
1148,AP_Breast_Uterus,breast_uterus,468.0,10937.0,2.0
814,chscase_vine2,chscase_vine2,468.0,3.0,2.0
1498,sa-heart,heart,462.0,10.0,2.0
1065,kc3,kc3,458.0,40.0,2.0
1149,AP_Ovary_Kidney,ovary_kidney,458.0,10936.0,2.0
764,analcatdata_apnea3,analcatdata_apnea3,450.0,4.0,2.0
1511,wholesale-customers,wholesale_customers,440.0,9.0,2.0
1127,AP_Breast_Omentum,breast_omentum,421.0,10936.0,2.0
46843,Cirrhosis_Patient_Survival_Prediction,cirrhosis_patient,418.0,18.0,3.0
1122,AP_Breast_Prostate,breast_prostate,413.0,10936.0,2.0
1126,AP_Colon_Lung,colon_lung,412.0,10936.0,2.0
957,braziltourism,braziltourism,412.0,9.0,2.0
1160,AP_Colon_Uterus,colon_uterus,410.0,10936.0,2.0
455,cars,cars,406.0,8.0,3.0
1123,AP_Endometrium_Breast,endometrium_breast,405.0,10936.0,2.0
1071,mw1,mw1,403.0,38.0,2.0
1508,user-knowledge,user_knowledge,403.0,6.0,5.0
907,chscase_census4,chscase_census4,400.0,8.0,2.0
909,chscase_census2,chscase_census2,400.0,8.0,2.0
908,chscase_census3,chscase_census3,400.0,8.0,2.0
900,chscase_census6,chscase_census6,400.0,7.0,2.0
906,chscase_census5,chscase_census5,400.0,8.0,2.0
475,analcatdata_germangss,analcatdata_germangss,400.0,6.0,4.0
40663,calendarDOW,calendardow,399.0,33.0,5.0
831,autoMpg,autompg,398.0,8.0,2.0
40700,cars1,cars1,392.0,8.0,3.0
1163,AP_Lung_Kidney,lung_kidney,386.0,10936.0,2.0
1129,AP_Uterus_Kidney,uterus_kidney,384.0,10936.0,2.0
46847,differentiated_thyroid_cancer_recurrence,differentiated_thyroid,383.0,17.0,2.0
860,vinnie,vinnie,380.0,3.0,2.0
1048,jEdit_4.2_4.3,jedit,369.0,9.0,2.0
1010,dermatology,dermatology,366.0,35.0,2.0
984,analcatdata_draft,analcatdata_draft,366.0,5.0,2.0
968,analcatdata_birthday,analcatdata_birthday,365.0,4.0,2.0
986,analcatdata_marketing,analcatdata_marketing,364.0,33.0,2.0
1143,AP_Colon_Omentum,colon_omentum,363.0,10936.0,2.0
1514,micro-mass,micro_mass,360.0,1301.0,10.0
41496,DRSongsLyrics,drsongslyrics,358.0,2.0,2.0
1135,AP_Colon_Prostate,colon_prostate,355.0,10936.0,2.0
59,ionosphere,ionosphere,351.0,35.0,2.0
337,SPECTF,spectf,349.0,45.0,2.0
1133,AP_Endometrium_Colon,endometrium_colon,347.0,10936.0,2.0
42585,penguins,penguins,344.0,7.0,3.0
1147,AP_Omentum_Kidney,omentum_kidney,337.0,10936.0,2.0
1011,ecoli,ecoli,336.0,8.0,2.0
1144,AP_Prostate_Kidney,prostate_kidney,329.0,10936.0,2.0
1447,CastMetal1,castmetal1,327.0,38.0,2.0
1140,AP_Ovary_Lung,ovary_lung,324.0,10937.0,2.0
925,visualizing_galaxy,visualizing_galaxy,323.0,5.0,2.0
1162,AP_Ovary_Uterus,ovary_uterus,322.0,10936.0,2.0
1157,AP_Endometrium_Kidney,endometrium_kidney,321.0,10936.0,2.0
1167,pc1_req,pc1_req,320.0,9.0,2.0
915,plasma_retinol,plasma_retinol,315.0,14.0,2.0
1523,vertebra-column,vertebra_column,310.0,7.0,3.0
818,diggle_table_a2,diggle_table,310.0,9.0,2.0
43,haberman,haberman,306.0,4.0,2.0
786,cleveland,cleveland,303.0,14.0,2.0
40710,cleve,cleve,303.0,14.0,2.0
798,cholesterol,cholesterol,303.0,14.0,2.0
1446,CostaMadre1,costamadre1,296.0,38.0,2.0
44149,Heart_disease_prediction_20,heart_disease,296.0,14.0,2.0
1121,badges2,badges2,294.0,11.0,2.0
13,breast-cancer,breast_cancer,286.0,10.0,2.0
844,breastTumor,breasttumor,286.0,10.0,2.0
961,analcatdata_broadwaymult,analcatdata_broadwaymult,285.0,8.0,2.0
880,mu284,mu284,284.0,11.0,2.0
41430,DiabeticMellitus,diabeticmellitus,281.0,98.0,2.0
1156,AP_Omentum_Ovary,omentum_ovary,275.0,10936.0,2.0
46590,heart-statlog-uci,heart_statlog,270.0,14.0,2.0
1152,AP_Prostate_Ovary,prostate_ovary,267.0,10936.0,2.0
336,SPECT,spect,267.0,23.0,2.0
42544,Touch2,touch2,265.0,11.0,8.0
811,rmftsa_ctoarrivals,rmftsa_ctoarrivals,264.0,3.0,2.0
1159,AP_Endometrium_Ovary,endometrium_ovary,259.0,10936.0,2.0
45098,Ovarian,ovarian,253.0,15155.0,2.0
1442,MegaWatt1,megawatt1,253.0,38.0,2.0
1449,MeanWhile1,meanwhile1,253.0,38.0,2.0
778,bodyfat,bodyfat,252.0,15.0,2.0
911,fri_c2_250_5,fri_250,250.0,6.0,2.0
1495,qualitative-bankruptcy,qualitative_bankruptcy,250.0,7.0,2.0
1136,AP_Lung_Uterus,lung_uterus,250.0,10936.0,2.0
464,prnn_synth,prnn_synth,250.0,3.0,2.0
41538,conference_attendance,conference_attendance,246.0,7.0,2.0
46279,algerian_forest_fires,algerian_forest,243.0,14.0,2.0
851,tecator,tecator,240.0,125.0,2.0
820,chatfield_4,chatfield,235.0,13.0,2.0
939,chscase_whale,chscase_whale,228.0,9.0,2.0
1412,lungcancer_GSE31210,lungcancer_gse31210,226.0,24.0,2.0
895,chscase_geyser1,chscase_geyser1,222.0,3.0,2.0
1084,BurkittLymphoma,burkittlymphoma,220.0,22284.0,3.0
40682,thyroid-new,thyroid_new,215.0,6.0,3.0
996,prnn_fglass,prnn_fglass,214.0,10.0,2.0
1005,glass,glass,214.0,10.0,2.0
1499,seeds,seeds,210.0,8.0,3.0
796,cpu,cpu,209.0,8.0,2.0
733,machine_cpu,machine_cpu,209.0,7.0,2.0
481,biomed,biomed,209.0,9.0,2.0
40,sonar,sonar,208.0,61.0,2.0
840,autoHorse,autohorse,205.0,26.0,2.0
975,autos,autos,205.0,26.0,2.0
1132,AP_Omentum_Lung,omentum_lung,203.0,10936.0,2.0
42172,regime_alimentaire,regime_alimentaire,202.0,20.0,2.0
1124,AP_Omentum_Uterus,omentum_uterus,201.0,10936.0,2.0
721,pwLinear,pwlinear,200.0,11.0,2.0
46602,Predicting_Risk_Factors_of_Chronic_Kidney_Disease,predicting_risk,200.0,29.0,2.0
446,prnn_crabs,prnn_crabs,200.0,8.0,2.0
1458,arcene,arcene,200.0,10001.0,2.0
